metodo,eje,grupo,cobertura,se_cluster,desvio_pp,ancho_medio,pct_infinito,n,n_dias
"Transporte+ACI (g=0.05), referencia",region,Coquimbo,90.9,0.67,0.9,295.7,5.94,9192,638
"Transporte+ACI (g=0.05), referencia",region,La Araucanía,88.01,0.9,-1.99,272.5,6.11,5104,638
"Transporte+ACI (g=0.05), referencia",region,Libertador General Bernardo O'Higgins,91.34,0.88,1.34,65.5,6.62,2356,638
"Transporte+ACI (g=0.05), referencia",region,Los Lagos,91.61,0.87,1.61,172.4,6.11,2552,638
"Transporte+ACI (g=0.05), referencia",region,Maule,91.14,0.92,1.14,335.0,6.62,1178,638
"Transporte+ACI (g=0.05), referencia",region,Metropolitana de Santiago,91.63,0.7,1.63,264.8,6.28,2484,638
"Transporte+ACI (g=0.05), referencia",region,Tarapacá,89.23,0.66,-0.77,407.7,6.07,3852,638
"Transporte+ACI (g=0.05), referencia",region,Valparaíso,92.61,0.78,2.61,513.0,5.38,1451,638
"Transporte+ACI (g=0.05), referencia",evento,alto (decil sup.),86.72,0.74,-3.28,684.0,0.77,30831,254
"Transporte+ACI (g=0.05), referencia",evento,resto,92.28,0.5,2.28,528.3,9.56,47037,384
